sample_id,source_sample_id,true_label,pred_label,confidence,source_file,processed_28x28,input_32x32
2_2_02_cbfae05c_r01c04__rotation_angle_p10,2_2_02_cbfae05c_r01c04,2,1,0.9358348274652075,./data/preprocessed/dataset/processed_28x28/2/2_2_02_cbfae05c_r01c04.png,./data/robustness/rotation/angle_p10/processed_28x28/2/2_2_02_cbfae05c_r01c04__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/2/2_2_02_cbfae05c_r01c04__rotation_angle_p10.png
3_3_01_3ef7df64_r04c03__rotation_angle_p10,3_3_01_3ef7df64_r04c03,3,7,0.5303807902383757,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c03.png,./data/robustness/rotation/angle_p10/processed_28x28/3/3_3_01_3ef7df64_r04c03__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/3/3_3_01_3ef7df64_r04c03__rotation_angle_p10.png
3_3_01_3ef7df64_r04c04__rotation_angle_p10,3_3_01_3ef7df64_r04c04,3,1,0.43995090418316213,./data/preprocessed/dataset/processed_28x28/3/3_3_01_3ef7df64_r04c04.png,./data/robustness/rotation/angle_p10/processed_28x28/3/3_3_01_3ef7df64_r04c04__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/3/3_3_01_3ef7df64_r04c04__rotation_angle_p10.png
3_3_02_0ace0337_r04c04__rotation_angle_p10,3_3_02_0ace0337_r04c04,3,1,0.5295380540128511,./data/preprocessed/dataset/processed_28x28/3/3_3_02_0ace0337_r04c04.png,./data/robustness/rotation/angle_p10/processed_28x28/3/3_3_02_0ace0337_r04c04__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/3/3_3_02_0ace0337_r04c04__rotation_angle_p10.png
4_4_01_ecfe458e_r04c01__rotation_angle_p10,4_4_01_ecfe458e_r04c01,4,9,0.5604134975521856,./data/preprocessed/dataset/processed_28x28/4/4_4_01_ecfe458e_r04c01.png,./data/robustness/rotation/angle_p10/processed_28x28/4/4_4_01_ecfe458e_r04c01__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/4/4_4_01_ecfe458e_r04c01__rotation_angle_p10.png
4_4_02_b6e2cbed_r04c03__rotation_angle_p10,4_4_02_b6e2cbed_r04c03,4,9,0.6472716914828653,./data/preprocessed/dataset/processed_28x28/4/4_4_02_b6e2cbed_r04c03.png,./data/robustness/rotation/angle_p10/processed_28x28/4/4_4_02_b6e2cbed_r04c03__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/4/4_4_02_b6e2cbed_r04c03__rotation_angle_p10.png
6_6_01_52f5f834_r01c02__rotation_angle_p10,6_6_01_52f5f834_r01c02,6,5,0.6697436532425987,./data/preprocessed/dataset/processed_28x28/6/6_6_01_52f5f834_r01c02.png,./data/robustness/rotation/angle_p10/processed_28x28/6/6_6_01_52f5f834_r01c02__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/6/6_6_01_52f5f834_r01c02__rotation_angle_p10.png
6_6_02_ad596076_r03c04__rotation_angle_p10,6_6_02_ad596076_r03c04,6,0,0.6046978358341625,./data/preprocessed/dataset/processed_28x28/6/6_6_02_ad596076_r03c04.png,./data/robustness/rotation/angle_p10/processed_28x28/6/6_6_02_ad596076_r03c04__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/6/6_6_02_ad596076_r03c04__rotation_angle_p10.png
9_9_01_852a4a6b_r02c03__rotation_angle_p10,9_9_01_852a4a6b_r02c03,9,8,0.9944264829705742,./data/preprocessed/dataset/processed_28x28/9/9_9_01_852a4a6b_r02c03.png,./data/robustness/rotation/angle_p10/processed_28x28/9/9_9_01_852a4a6b_r02c03__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/9/9_9_01_852a4a6b_r02c03__rotation_angle_p10.png
9_9_01_852a4a6b_r03c01__rotation_angle_p10,9_9_01_852a4a6b_r03c01,9,4,0.7572204213970204,./data/preprocessed/dataset/processed_28x28/9/9_9_01_852a4a6b_r03c01.png,./data/robustness/rotation/angle_p10/processed_28x28/9/9_9_01_852a4a6b_r03c01__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/9/9_9_01_852a4a6b_r03c01__rotation_angle_p10.png
9_9_01_852a4a6b_r03c04__rotation_angle_p10,9_9_01_852a4a6b_r03c04,9,4,0.6859355161242222,./data/preprocessed/dataset/processed_28x28/9/9_9_01_852a4a6b_r03c04.png,./data/robustness/rotation/angle_p10/processed_28x28/9/9_9_01_852a4a6b_r03c04__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/9/9_9_01_852a4a6b_r03c04__rotation_angle_p10.png
9_9_02_2f49434b_r01c03__rotation_angle_p10,9_9_02_2f49434b_r01c03,9,8,0.9967346749876548,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r01c03.png,./data/robustness/rotation/angle_p10/processed_28x28/9/9_9_02_2f49434b_r01c03__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/9/9_9_02_2f49434b_r01c03__rotation_angle_p10.png
9_9_02_2f49434b_r02c04__rotation_angle_p10,9_9_02_2f49434b_r02c04,9,8,0.9190057533470584,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r02c04.png,./data/robustness/rotation/angle_p10/processed_28x28/9/9_9_02_2f49434b_r02c04__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/9/9_9_02_2f49434b_r02c04__rotation_angle_p10.png
9_9_02_2f49434b_r03c01__rotation_angle_p10,9_9_02_2f49434b_r03c01,9,4,0.9855273986271245,./data/preprocessed/dataset/processed_28x28/9/9_9_02_2f49434b_r03c01.png,./data/robustness/rotation/angle_p10/processed_28x28/9/9_9_02_2f49434b_r03c01__rotation_angle_p10.png,./data/robustness/rotation/angle_p10/input_32x32/9/9_9_02_2f49434b_r03c01__rotation_angle_p10.png
